,pseudo_ALG,main_ALG,DATASET,method,vMAE,vSTD,eMAE,vs
31,MLP,BaggingRegressor,SCT,SSL,0.9308403813570024,0.15090424536197966,0.7824648566118515,[-0.99245779 -1.16144895 -0.70351147 -0.85902694 -0.93775676]
32,MLP,KNeighborsRegressor,SCT,SSL,0.998533990300578,0.17093275080579476,0.8921785057528027,[-1.0592163  -1.28273814 -0.78783638 -0.8672567  -0.99562244]
33,MLP,AdaBoostRegressor,SCT,SSL,1.003250552961206,0.16305830733495236,0.7930514827259539,[-0.98496205 -1.24167458 -0.81444622 -0.84683398 -1.12833593]
34,MLP,LinearRegression,SCT,SSL,1.0278096768543779,0.09170041450010424,0.7652204447742831,[-1.02209848 -1.20581942 -0.95467205 -0.98366915 -0.97278929]
35,MLP,SVR,SCT,SSL,0.9944633639459942,0.12055459874266734,0.7535591221752297,[-1.02937597 -1.20834211 -0.86432265 -0.96453582 -0.90574028]
36,MLP,DecisionTreeRegressor,SCT,SSL,1.173425929633796,0.24015563717551577,1.0419750894540978,[-1.11066458 -1.61449036 -0.88718614 -1.08423299 -1.17055558]
37,MLP,RandomForestRegressor,SCT,SSL,1.0672043397524669,0.15436509176757768,0.7835848916389228,[-1.0055409  -1.32875009 -1.09884518 -0.85363754 -1.049248  ]
38,MLP,MLPRegressor,SCT,SSL,0.8709129621027536,0.28314454723611376,1.2008280880071858,[-1.13613337 -1.26621523 -0.52473038 -0.76374891 -0.66373692]
39,MLP,GradientBoostingRegressor,SCT,SSL,1.07809535857216,0.24916953604860828,0.7721854550941825,[-1.01706753 -1.21181852 -0.74524187 -0.93967078 -1.47667809]
40,MLP,Lasso,FCT+CT,SSL,0.8099379075509152,0.2865985938355035,0.7701056461007993,[-1.03690879 -1.21966892 -0.57992366 -0.43971912 -0.77346905]
41,MLP,BaggingRegressor,FCT+CT,SSL,0.9357207080742285,0.40126196175909257,0.8867562026732327,[-1.03675811 -1.15098783 -0.51526459 -0.455678   -1.519915  ]
