,ALG,DATASET,method,vMAE,vSTD,eMAE,vs
118,MLPRegressor,SPT+PT,SL,1.4713724550597895,0.1694332814522134,1.1461851470890683,[-1.51055011 -1.43064755 -1.16604171 -1.62873972 -1.62088319]
119,Lasso,SPT+PT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
120,GradientBoostingRegressor,clinical,SL,1.122725911327859,0.15477379740880395,0.8218445332041784,[-1.24808964 -1.02794155 -0.9031488  -1.33764139 -1.09680817]
121,BaggingRegressor,clinical,SL,1.2927100456621006,0.20180317377112889,1.0631095890410958,[-1.30335616 -1.20294521 -1.18058219 -1.67520548 -1.10146119]
122,KNeighborsRegressor,clinical,SL,1.1831131329103381,0.18479096118521882,0.966610229185528,[-1.25777748 -1.12021046 -0.8914586  -1.45902759 -1.18709154]
123,AdaBoostRegressor,clinical,SL,1.292452715773249,0.2692572807992423,0.8343376062176266,[-1.48605047 -1.05777203 -0.94123582 -1.67520303 -1.30200222]
124,LinearRegression,clinical,SL,1.1827930974144072,0.20021851999895346,0.8673625012977375,[-1.38715372 -1.13781789 -0.84117585 -1.38194763 -1.16587039]
125,SVR,clinical,SL,1.1031071059655715,0.1368470560573351,0.753155500333271,[-1.20518856 -1.03051937 -0.90822637 -1.30045454 -1.0711467 ]
126,DecisionTreeRegressor,clinical,SL,1.3892294520547945,0.19550354013890386,1.131810289901243,[-1.36436454 -1.38310502 -1.05833904 -1.6581621  -1.48217656]
127,RandomForestRegressor,clinical,SL,1.2468540573413662,0.22811728764625194,1.0137286455168968,[-1.34996405 -1.15632247 -0.97259063 -1.63450378 -1.12088936]
128,MLPRegressor,clinical,SL,1.1533861764014866,0.19452246766892195,0.7657105639400312,[-1.21813704 -1.08490534 -0.86235307 -1.46227583 -1.1392596 ]
129,Lasso,clinical,SL,1.119638970428354,0.14662518665847854,0.8141199930639846,[-1.26181235 -1.01849315 -0.91594368 -1.30663459 -1.09531107]
130,GradientBoostingRegressor,PT,SL,1.0903512795404917,0.15312111694641412,0.8317214051918601,[-1.24980638 -0.90542313 -0.9076862  -1.23032827 -1.15851243]
131,BaggingRegressor,PT,SL,1.2732365296803654,0.10896196407845113,0.7600821917808218,[-1.19493151 -1.31950342 -1.12527397 -1.28261986 -1.44385388]
132,KNeighborsRegressor,PT,SL,1.0913597410409763,0.12063537253375801,0.7712009543440527,[-1.23493422 -0.87601881 -1.1631377  -1.10906052 -1.07364745]
133,AdaBoostRegressor,PT,SL,1.1829648176303855,0.10179536916245703,0.7560582717812776,[-1.27578571 -1.02655774 -1.10408691 -1.21982491 -1.28856882]
134,LinearRegression,PT,SL,1.1000217580704048,0.10697570203735673,0.7936077278588571,[-1.24328211 -0.95854353 -1.08280003 -1.19791808 -1.01756504]
